Número_Código;Nome_Extenso
396;HUB PAGAMENTOS S.A
309;CAMBIONET CORRETORA DE CÂMBIO LTDA.
254;PARANÁ BANCO S.A.
268;BARI COMPANHIA HIPOTECÁRIA
107;Banco Bocom BBM S.A.
412;BANCO CAPITAL S.A.
124;Banco Woori Bank do Brasil S.A.
149;Facta Financeira S.A. - Crédito Financiamento e Investimento
197;Stone Pagamentos S.A.
313;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.
142;Broker Brasil Corretora de Câmbio Ltda.
389;Banco Mercantil do Brasil S.A.
184;Banco Itaú BBA S.A.
634;BANCO TRIANGULO S.A.
545;SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A
132;ICBC do Brasil Banco Múltiplo S.A.
298;Vip's Corretora de Câmbio Ltda.
377;BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
321;CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT
260;Nu Pagamentos S.A.
129;UBS Brasil Banco de Investimento S.A.
128;MS Bank S.A. Banco de Câmbio
194;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
383;BOLETOBANCÁRIO.COM TECNOLOGIA DE PAGAMENTOS LTDA.
324;CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
310;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
380;PICPAY SERVICOS S.A.
163;Commerzbank Brasil S.A. - Banco Múltiplo
280;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO
146;GUITTA CORRETORA DE CAMBIO LTDA.
343;FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
279;COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE
335;Banco Digio S.A.
349;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO
374;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.
278;Genial Investimentos Corretora de Valores Mobiliários S.A.
271;IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.
21;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
246;Banco ABC Brasil S.A.
292;BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
n/a;Sistema do Balcão B3
n/a;Câmara Interbancária de Pagamentos - CIP C3
751;Scotiabank Brasil S.A. Banco Múltiplo
352;TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
208;Banco BTG Pactual S.A.
386;NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento
746;Banco Modal S.A.
241;BANCO CLASSICO S.A.
398;IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
336;Banco C6 S.A.
612;Banco Guanabara S.A.
604;Banco Industrial do Brasil S.A.
505;Banco Credit Suisse (Brasil) S.A.
329;QI Sociedade de Crédito Direto S.A.
196;FAIR CORRETORA DE CAMBIO S.A.
342;Creditas Sociedade de Crédito Direto S.A.
300;Banco de la Nacion Argentina
477;Citibank N.A.
266;BANCO CEDULA S.A.
122;Banco Bradesco BERJ S.A.
376;BANCO J.P. MORGAN S.A.
348;Banco XP S.A.
473;Banco Caixa Geral - Brasil S.A.
745;Banco Citibank S.A.
120;BANCO RODOBENS S.A.
265;Banco Fator S.A.
7;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
188;ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES
134;BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
29;Banco Itaú Consignado S.A.
243;Banco Máxima S.A.
397;LISTO SOCIEDADE DE CREDITO DIRETO S.A.
78;Haitong Banco de Investimento do Brasil S.A.
355;ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.
367;VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
373;UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
111;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.
408;BÔNUSCRED SOCIEDADE DE CRÉDITO DIRETO S.A.
402;COBUCCIO SOCIEDADE DE CRÉDITO DIRETO S.A.
404;SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.
406;ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.
403;CORA SOCIEDADE DE CRÉDITO DIRETO S.A.
306;PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
17;BNY Mellon Banco S.A.
174;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO
495;Banco de La Provincia de Buenos Aires
125;Plural S.A. Banco Múltiplo
488;JPMorgan Chase Bank, National Association
65;Banco AndBank (Brasil) S.A.
492;ING Bank N.V.
145;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.
250;BCV - BANCO DE CRÉDITO E VAREJO S.A.
354;NECTON INVESTIMENTOS  S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES
253;Bexs Corretora de Câmbio S/A
269;BANCO HSBC S.A.
213;Banco Arbi S.A.
n/a;Câmara B3
139;Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
18;Banco Tricury S.A.
422;Banco Safra S.A.
630;Banco Smartbank S.A.
224;Banco Fibra S.A.
393;Banco Volkswagen S.A.
600;Banco Luso Brasileiro S.A.
390;BANCO GM S.A.
623;Banco Pan S.A.
655;Banco Votorantim S.A.
479;Banco ItauBank S.A.
456;Banco MUFG Brasil S.A.
464;Banco Sumitomo Mitsui Brasileiro S.A.
341;ITAÚ UNIBANCO S.A.
237;Banco Bradesco S.A.
381;BANCO MERCEDES-BENZ DO BRASIL S.A.
613;Omni Banco S.A.
652;Itaú Unibanco Holding S.A.
637;BANCO SOFISA S.A.
n/a;Câmara de Câmbio B3
653;BANCO INDUSVAL S.A.
69;Banco Crefisa S.A.
370;Banco Mizuho do Brasil S.A.
249;Banco Investcred Unibanco S.A.
318;Banco BMG S.A.
626;BANCO C6 CONSIGNADO S.A.
270;Sagitur Corretora de Câmbio Ltda.
366;BANCO SOCIETE GENERALE BRASIL S.A.
113;Magliano S.A. Corretora de Cambio e Valores Mobiliarios
131;TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA
11;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A
611;Banco Paulista S.A.
755;Bank of America Merrill Lynch Banco Múltiplo S.A.
89;CREDISAN COOPERATIVA DE CRÉDITO
643;Banco Pine S.A.
140;Easynvest - Título Corretora de Valores SA
707;Banco Daycoval S.A.
288;CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
363;SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
101;RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
487;DEUTSCHE BANK S.A. - BANCO ALEMAO
233;Banco Cifra S.A.
177;Guide Investimentos S.A. Corretora de Valores
365;SOLIDUS S.A. CORRETORA DE CAMBIO E VALORES MOBILIARIOS
633;Banco Rendimento S.A.
218;Banco BS2 S.A.
169;BANCO OLÉ CONSIGNADO S.A.
293;Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
285;Frente Corretora de Câmbio Ltda.
80;B&T CORRETORA DE CAMBIO LTDA.
753;Novo Banco Continental S.A. - Banco Múltiplo
222;BANCO CRÉDIT AGRICOLE BRASIL S.A.
281;Cooperativa de Crédito Rural Coopavel
754;Banco Sistema S.A.
311;DOURADA CORRETORA DE CÂMBIO LTDA.
98;Credialiança Cooperativa de Crédito Rural
610;Banco VR S.A.
712;Banco Ourinvest S.A.
10;CREDICOAMO CREDITO RURAL COOPERATIVA
283;RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA
33;BANCO SANTANDER (BRASIL) S.A.
217;Banco John Deere S.A.
41;Banco do Estado do Rio Grande do Sul S.A.
117;ADVANCED CORRETORA DE CÂMBIO LTDA
654;BANCO DIGIMAIS S.A.
371;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.
212;Banco Original S.A.
289;DECYSEO CORRETORA DE CAMBIO LTDA.
